Brand,Slug,Source,# Levers,Banner,Free Ship Threshold ($),Subscribe & Save %,Sale Collection,Sale Coll Count,Sale Coll Avg Discount %,Catalog Scan: On Sale,Catalog Scan: Scanned,Catalog Scan: Avg %,Catalog Scan: Max %,Levers (joined),Scraped At
MyIntent,myintent,live,1,FREE US SHIPPING ALL ORDERS $50+,50,,,,,,,,,Free shipping on orders $50+ (current store policy),2026-05-08
Myles Apparel,myles-apparel,live,1,,,,sale,25,48,25,116,48,70,"Currently 48% off across 25 products in our 'sale' collection — if this SKU is in that collection, the discount is already applied",2026-05-08
Natural Baby Shower,natural-baby-shower,live,2,Free delivery on orders over £75,75,,sale,50,16,131,250,21,70,"Free shipping on orders $75+ (current store policy) || Currently 16% off across 50 products in our 'sale' collection — if this SKU is in that collection, the discount is already applied",2026-05-08
Natural Stacks,natural-stacks,live,2,Up To 40% OFF Subscriptions + FREE U.S. Shipping,,,sale,9,18,50,74,20,57,"Currently 18% off across 9 products in our 'sale' collection — if this SKU is in that collection, the discount is already applied || Current site-wide promotion: ""Up To 40% OFF Subscriptions + FREE U.S. Shipping""",2026-05-08
Nest Bedding,nest-bedding,live,2,50% off mattresses when you bundle,,,sale,4,15,2,250,15,18,"Currently 15% off across 4 products in our 'sale' collection — if this SKU is in that collection, the discount is already applied || Current site-wide promotion: ""50% off mattresses when you bundle""",2026-05-08
New Era,new-era,live,2,30% off select Alpha Industries styles,,,all-sale,50,37,4,250,28,35,"Currently 37% off across 50 products in our 'all-sale' collection — if this SKU is in that collection, the discount is already applied || Current site-wide promotion: ""30% off select Alpha Industries styles""",2026-05-08
Newbury Comics,newbury-comics,live,1,Free standard shipping on domestic orders over $100!,100,,,,,,,,,Free shipping on orders $100+ (current store policy),2026-05-08
Next Deal Shop,next-deal-shop,live,2,Spring Savings Sale! Up to 60% Off storewide + EXTRA 50% Off any 2nd item with code: BF25 EXTRA 50% Off any 2nd item code: BF25,,,,,,250,250,33,66,"Currently 250 products on sale (100% of recent inventory) — average discount 33% off list, up to 66% off. If this SKU has compare_at_price set, the markdown is already applied. || Current site-wide promotion: ""Spring Savings Sale! Up to 60% Off storewide + EXTRA 50% Off any 2nd item with code: BF25 EXTRA 50% Off any 2nd item code: BF25""",2026-05-08
Nialaya Jewelry,nialaya-jewelry,live,2,FREE SHIPPING: US & EU $199+ | WORLDWIDE $299+ 📦,199,,sale,28,32,53,250,31,50,"Free shipping on orders $199+ (current store policy) || Currently 32% off across 28 products in our 'sale' collection — if this SKU is in that collection, the discount is already applied",2026-05-08
Nickey Kehoe,nickey-kehoe,live,0,,,,,,,,,,,,2026-05-08
Nisolo,nisolo,live,2,Up to 40% off — the Treat Yourself Promo is here. Shop Now,,,sale,50,44,130,201,47,80,"Currently 44% off across 50 products in our 'sale' collection — if this SKU is in that collection, the discount is already applied || Current site-wide promotion: ""Up to 40% off — the Treat Yourself Promo is here. Shop Now""",2026-05-08
Noah,noah,live,2,"Free Shipping on Orders Rs. 34,100 +",,,,,,83,250,38,71,"Free shipping (per current site banner: 'Free Shipping on Orders Rs. 34,100 +') || Currently 83 products on sale (33% of recent inventory) — average discount 38% off list, up to 71% off. If this SKU has compare_at_price set, the markdown is already applied.",2026-05-08
NoHow,nohow,live,1,,,,outlet,50,65,91,250,28,90,"Currently 65% off across 50 products in our 'outlet' collection — if this SKU is in that collection, the discount is already applied",2026-05-08
Noise,noise,live,1,,,,,,,181,250,51,89,"Currently 181 products on sale (72% of recent inventory) — average discount 51% off list, up to 89% off. If this SKU has compare_at_price set, the markdown is already applied.",2026-05-08
Notre Shop,notre-shop,live,1,,,,sale,50,27,15,250,29,53,"Currently 27% off across 50 products in our 'sale' collection — if this SKU is in that collection, the discount is already applied",2026-05-08
Nutrimuscle,nutrimuscle,live,1,,,,,,,6,192,19,44,"Currently 6 products on sale (3% of recent inventory) — average discount 19% off list, up to 44% off. If this SKU has compare_at_price set, the markdown is already applied.",2026-05-08
OBEY Clothing,obey-clothing,live,1,,,,womens-sale,50,44,11,250,30,30,"Currently 44% off across 50 products in our 'womens-sale' collection — if this SKU is in that collection, the discount is already applied",2026-05-08
